gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,finish,team_rating,team_region,team_seed,team_slot
mens,2019-03-20,0,1,0.786447979008,0.30824464929,0.055504568536,0.021225928061,0.007158256627,0.00249372629,1,1,344,Mississippi St.,1,85.11,East,5,8
mens,2019-03-20,0,1,0.060029638245,0.012259952944,0.002259071837,0.000297937541,3.8513212E-05,6.223868E-06,1,1,149,Montana,1,76.17,West,15,62
mens,2019-03-20,0,1,0.359772338639,0.111988912767,0.017033856817,0.004843958549,0.001150900052,0.000324854185,1,1,93,Murray St.,2,81.29,West,12,42
mens,2019-03-20,0,1,0.577826723869,0.18330731839,0.095437304947,0.035917956143,0.011209846658,0.004027577134,1,1,2440,Nevada,1,86.11,West,7,56
mens,2019-03-20,0,1,0.225787136977,0.090463179966,0.018532979945,0.005270449282,0.001152596531,0.000256799669,1,1,166,New Mexico St.,1,80.91,Midwest,12,74
mens,2019-03-20,0,1,0.977912624507,0.862688419324,0.567248609358,0.351064505728,0.178717241731,0.087316713293,1,1,153,North Carolina,3,93.24,Midwest,1,64
mens,2019-03-20,1,1,0.00821055845,0.001025868922,8.141385E-05,6.021751E-06,5.36685E-07,5.4172E-08,1,1,2449,North Dakota St.,1,70.79,East,16b,3
mens,2019-03-20,0,1,0.174784013775,0.035289221396,0.005376261164,0.001170887834,0.000211488039,3.9398901E-05,1,1,111,Northeastern,1,78.58,Midwest,13,78
mens,2019-03-20,0,1,0.093947733322,0.025631087609,0.004062416322,0.000532259119,8.5178132E-05,1.6785405E-05,1,1,94,Northern Kentucky,1,77.27,West,14,54
mens,2019-03-20,0,1,0.327181556509,0.116970135745,0.036446372992,0.010599841832,0.002977808022,0.000837253888,1,1,194,Ohio St.,2,82.59,Midwest,11,82
mens,2019-03-20,0,1,0.529087523347,0.062473829373,0.028344384595,0.008492490109,0.002822743286,0.000783350272,1,1,201,Oklahoma,2,83.01,South,9,102
mens,2019-03-20,0,1,0.119045658598,0.024981484648,0.003621363991,0.000479721483,8.8417185E-05,1.3815611E-05,1,1,295,Old Dominion,1,76.98,South,14,118
mens,2019-03-20,0,1,0.39938625325,0.188559936365,0.026181271483,0.006493740502,0.001937321065,0.000483557364,1,1,2483,Oregon,3,82.64,South,12,106
mens,2019-03-20,0,1,0.880954341402,0.506146027617,0.248497223555,0.102969986768,0.052164143099,0.022144049118,1,1,2509,Purdue,4,89.04,South,3,116
mens,2019-03-20,0,1,0.111534344929,0.033187339158,0.00249700611,0.000462461878,8.2862044E-05,1.6180551E-05,1,1,139,Saint Louis,1,77.01,East,13,14
mens,2019-03-20,0,1,0.247328644966,0.078327582838,0.02055644505,0.004720204584,0.00164134687,0.000476224158,1,1,2608,Saint Mary's,1,83.58,South,11,114
mens,2019-03-20,0,1,0.366500807142,0.079082807425,0.02771221726,0.007234187492,0.001861258495,0.000482366051,1,1,2550,Seton Hall,1,82.2,Midwest,10,90
mens,2019-03-20,0,1,0.602978206888,0.079203168036,0.037510622879,0.013019723456,0.003816020463,0.001297587431,1,1,183,Syracuse,1,83.92,West,8,36
mens,2019-03-20,0,1,0.949730551269,0.688962368127,0.441466891838,0.20595906416,0.110637674895,0.049961949799,1,1,2633,Tennessee,3,91.34,South,2,124
mens,2019-03-20,0,1,0.906052266678,0.648334067731,0.341212740363,0.141156655185,0.05632340778,0.025034072602,1,1,2641,Texas Tech,6,89.65,West,3,52
mens,2019-03-20,0,1,0.233375665627,0.071177113573,0.006111063783,0.000971058532,0.00019087984,3.1749661E-05,1,1,300,UC Irvine,2,78.36,South,13,110
mens,2019-03-20,0,1,0.505994711567,0.067735319848,0.022125786033,0.007009076825,0.001784127789,0.000457803396,1,1,328,Utah St.,1,82.26,Midwest,8,68
mens,2019-03-20,0,1,0.20970805674,0.087916678564,0.009395211406,0.001955814336,0.00035077426,7.6756407E-05,1,1,261,Vermont,1,79.29,West,13,46
mens,2019-03-20,0,1,0.752671355034,0.390544904897,0.148670882394,0.048236917622,0.020356283867,0.007164165278,1,1,222,Villanova,2,86.96,South,6,112
mens,2019-03-20,0,1,0.981433838804,0.88219880348,0.726784067022,0.493112679461,0.315199717458,0.172234608292,1,1,258,Virginia,7,95.22,South,1,96
mens,2019-03-20,0,1,0.504988958792,0.046189202965,0.017935616869,0.006254438844,0.001535455275,0.000400841426,1,1,2670,VCU,1,81.7,East,8,4
mens,2019-03-20,0,1,0.888465655071,0.617061363665,0.187703899482,0.102976697097,0.044953666801,0.019771608508,1,1,259,Virginia Tech,3,89.26,East,4,12
mens,2019-03-20,0,1,0.494005288433,0.065142172129,0.020542702502,0.006295406794,0.001580508055,0.000400393487,1,1,264,Washington,2,82.55,Midwest,9,70
mens,2019-03-20,0,1,0.60061374675,0.33032869611,0.088253983735,0.03799575706,0.018055747037,0.007172177709,1,1,275,Wisconsin,1,86.54,South,5,104
mens,2019-03-20,0,1,0.633499192858,0.185529987058,0.078656487948,0.02500334708,0.007437319283,0.002204708996,1,1,2747,Wofford,2,84.38,Midwest,7,88
mens,2019-03-20,0,1,0.155832874011,0.039957533269,0.006337373662,0.000750520415,0.000119517698,2.0908942E-05,1,1,43,Yale,1,77.11,East,14,22
