gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,finish,team_rating,team_region,team_seed
mens,2016-03-16,0,1,0.11768487,0.02813062,0.00456128,0.00099935,0.00013941,2.375E-05,1,2739,Green Bay,1,76.18,West,14
mens,2016-03-16,0,1,0.01742235,0.00193607,0.00010849,6.24E-06,3.5E-07,2E-08,1,2261,Hampton,1,68.61,Midwest,16
mens,2016-03-16,0,1,0.16558984,0.0385179,0.00296445,0.00041125,8.883E-05,1.505E-05,1,62,Hawaii,2,78.02,South,13
mens,2016-03-16,1,1,0.01913599,0.00147852,0.00010105,5.69E-06,2.4E-07,1E-08,1,107,Holy Cross,1,67.61,West,16a
mens,2016-03-16,0,1,0.87683343,0.35794705,0.10999712,0.05790886,0.025747,0.01139307,1,84,Indiana,3,87.36,East,5
mens,2016-03-16,0,1,0.15929771,0.03193922,0.0050085,0.00106553,0.00021057,4.691E-05,1,314,Iona,1,78.22,Midwest,13
mens,2016-03-16,0,1,0.72194021,0.18532737,0.08754145,0.03154687,0.01557652,0.00612468,1,2294,Iowa,2,85.91,South,7
mens,2016-03-16,0,1,0.84070229,0.40173385,0.14743067,0.06397299,0.02510869,0.01029428,1,66,Iowa St.,3,86.5,Midwest,4
mens,2016-03-16,0,1,0.99027066,0.86031066,0.68679352,0.45159162,0.32017291,0.19122757,1,2305,Kansas,4,94.46,South,1
mens,2016-03-16,0,1,0.92530662,0.61058029,0.25196916,0.15916753,0.08494926,0.04436281,1,96,Kentucky,2,90.69,East,4
mens,2016-03-16,0,1,0.79464229,0.46029038,0.14219176,0.06526766,0.03285641,0.0131926,1,120,Maryland,3,87.37,South,5
mens,2016-03-16,0,1,0.85764429,0.35429225,0.13851633,0.04857855,0.02505378,0.01032811,1,2390,Miami FL,3,87.05,South,3
mens,2016-03-16,1,1,0.3378623,0.08047189,0.02693656,0.00502492,0.001283,0.00034502,1,130,Michigan,1,80.31,East,11a
mens,2016-03-16,0,1,0.9485191,0.77629788,0.59476162,0.33937835,0.17278542,0.08906482,1,127,Michigan St.,1,91.84,Midwest,2
mens,2016-03-16,0,1,0.0514809,0.01348492,0.00288726,0.00036377,5.341E-05,9.07E-06,1,2393,Middle Tennessee,2,75.02,Midwest,15
mens,2016-03-16,0,1,0.98468028,0.90607491,0.60726261,0.43516259,0.25826056,0.14878828,1,153,North Carolina,6,93.94,East,1
mens,2016-03-16,0,1,0.03706028,0.00711099,0.00103846,0.00012073,2.19E-05,3.12E-06,1,2427,UNC Asheville,1,74.17,South,15
mens,2016-03-16,0,1,0.15402084,0.04699842,0.01006006,0.00218584,0.00036376,7.288E-05,1,350,UNC Wilmington,1,77.72,West,13
mens,2016-03-16,0,1,0.29989084,0.09516434,0.02507946,0.00842209,0.00183777,0.00047055,1,2460,Northern Iowa,2,80.24,West,11
mens,2016-03-16,0,1,0.6621377,0.22555949,0.10159822,0.02657896,0.00939384,0.00338368,1,87,Notre Dame,4,84.36,East,6
mens,2016-03-16,0,1,0.95858319,0.82132961,0.53341957,0.31965415,0.14193929,0.06771412,1,201,Oklahoma,5,89.96,West,2
mens,2016-03-16,0,1,0.98086401,0.72466814,0.44096311,0.22690979,0.07189145,0.02559974,1,2483,Oregon,4,88,West,1
mens,2016-03-16,0,1,0.26556296,0.02682859,0.00814584,0.00234177,0.00033765,5.931E-05,1,204,Oregon St.,1,77.63,West,7
mens,2016-03-16,0,1,0.37116453,0.12546356,0.04767579,0.01175459,0.00354404,0.00110705,1,221,Pittsburgh,1,82.29,East,10
mens,2016-03-16,0,1,0.62200871,0.0630388,0.020679,0.00847699,0.00239651,0.0007065,1,2507,Providence,2,82.48,East,9
mens,2016-03-16,0,1,0.8419116,0.51862565,0.24470148,0.12956658,0.05805646,0.02673775,1,2509,Purdue,1,88.68,Midwest,5
mens,2016-03-16,0,1,0.39351391,0.09242693,0.03539732,0.01113355,0.00258704,0.0007007,1,2603,Saint Joseph's,2,81.61,West,8
mens,2016-03-16,0,1,0.39818101,0.1714058,0.05331916,0.01819683,0.00630813,0.00231913,1,2550,Seton Hall,1,84.46,Midwest,6
mens,2016-03-16,0,1,0.20535771,0.06688261,0.00813068,0.00171587,0.00048785,0.00010866,1,2571,South Dakota St.,1,78.64,South,12
mens,2016-03-16,0,1,0.37799129,0.02758362,0.00618629,0.00185258,0.00053992,0.00016359,1,30,USC,1,81.4,East,8
mens,2016-03-16,0,1,0.15189607,0.06300398,0.02019563,0.00359288,0.00126815,0.00045624,1,2617,Stephen F. Austin,2,80.98,East,14
mens,2016-03-16,0,1,0.07469338,0.01518218,0.00198296,0.00055142,9.858E-05,1.915E-05,1,2619,Stony Brook,1,77.09,East,13
mens,2016-03-16,0,1,0.47644216,0.09734414,0.04430409,0.01255474,0.00360305,0.00112126,1,183,Syracuse,5,82.69,Midwest,10
mens,2016-03-16,0,1,0.27805979,0.04054921,0.00916799,0.00161532,0.00043474,9.167E-05,1,218,Temple,1,78.48,South,10
mens,2016-03-16,0,1,0.70010916,0.32721314,0.12683644,0.05880235,0.02118673,0.00843765,1,251,Texas,1,84.66,West,6
mens,2016-03-16,0,1,0.88231513,0.5494919,0.24167014,0.12411124,0.05198105,0.02357915,1,245,Texas A&M,3,86.82,West,3
mens,2016-03-16,0,1,0.33060551,0.04701794,0.01374853,0.00382012,0.00119691,0.00040254,1,2641,Texas Tech,1,81.27,Midwest,8
mens,2016-03-16,0,1,0.87009917,0.4955672,0.15469945,0.05296992,0.02033589,0.00817745,1,254,Utah,2,86.64,Midwest,3
mens,2016-03-16,0,1,0.96293972,0.76701243,0.46574837,0.22001319,0.13091184,0.06333317,1,222,Villanova,7,91.29,South,2
mens,2016-03-16,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17230512,0.09786082,1,258,Virginia,4,92.46,Midwest,1
mens,2016-03-16,0,1,0.73443704,0.13989595,0.05707852,0.02168215,0.00561202,0.00167293,1,2670,VCU,2,83.05,West,10
mens,2016-03-16,0,1,0.05872659,0.00801166,0.00082179,5.074E-05,6.02E-06,8E-07,1,2692,Weber St.,1,73.28,East,15
mens,2016-03-16,0,1,0.84810393,0.63096464,0.39903223,0.16187002,0.07450766,0.0340155,1,277,West Virginia,1,89.3,East,3
mens,2016-03-16,1,1,0.50451453,0.31682301,0.15200108,0.06464956,0.03861239,0.01876101,1,2724,Wichita St.,2,88.44,South,11b
mens,2016-03-16,0,1,0.62883547,0.27120281,0.10948081,0.02892077,0.01061207,0.003953,1,275,Wisconsin,3,84.75,East,7
mens,2016-03-16,0,1,0.94127341,0.59532198,0.29425898,0.09868511,0.04220385,0.0180339,1,2752,Xavier,2,87.73,East,2
mens,2016-03-16,0,1,0.38725076,0.13930259,0.03693233,0.0097853,0.00190639,0.00044078,1,43,Yale,2,80.2,West,12
