gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,finish,team_rating,team_region,team_seed
mens,2016-03-16,0,1,0.49548547,0.30955889,0.14332392,0.05892473,0.03554732,0.01747254,1,12,Arizona,1,89.04,South,6
mens,2016-03-16,0,1,0.1580884,0.04770128,0.00826443,0.00191855,0.00048303,0.0001338,1,2031,Arkansas Little Rock,2,78.9,Midwest,12
mens,2016-03-16,0,1,0.00972934,0.00089393,0.00010013,6.87E-06,6.3E-07,5E-08,1,2046,Austin Peay,1,68.83,South,16
mens,2016-03-16,0,1,0.61274924,0.27071246,0.13086959,0.06043704,0.02365722,0.01012237,1,239,Baylor,1,85.47,West,5
mens,2016-03-16,0,1,0.14235571,0.01932585,0.00266239,0.00035326,7.239E-05,1.164E-05,1,2084,Buffalo,1,75.66,South,14
mens,2016-03-16,0,1,0.66939449,0.14723674,0.06305958,0.02494155,0.00842719,0.00302904,1,2086,Butler,2,84.17,Midwest,9
mens,2016-03-16,0,1,0.04141681,0.01194585,0.00320875,0.00082202,8.692E-05,1.144E-05,1,2934,Cal St. Bakersfield,1,74.97,West,15
mens,2016-03-16,0,1,0.83441016,0.43430911,0.08968276,0.0299194,0.01340961,0.00475534,1,25,California,1,85.62,South,4
mens,2016-03-16,0,1,0.12316657,0.01629048,0.00164411,0.00036721,7.222E-05,1.532E-05,1,236,Chattanooga,1,76.6,East,12
mens,2016-03-16,0,1,0.60648609,0.18142641,0.08343633,0.03171214,0.00916698,0.00301232,1,2132,Cincinnati,1,83.7,West,9
mens,2016-03-16,0,1,0.36337233,0.03928262,0.01578458,0.00423949,0.00157142,0.00045757,1,38,Colorado,1,81.46,South,8
mens,2016-03-16,0,1,0.63662767,0.09951278,0.05435213,0.02104562,0.0093606,0.00329282,1,41,Connecticut,2,85.32,South,9
mens,2016-03-16,0,1,0.52355784,0.11287306,0.05315441,0.01567429,0.00449541,0.00139816,1,2168,Dayton,1,82.37,Midwest,7
mens,2016-03-16,0,1,0.84597916,0.54298653,0.26224021,0.12099552,0.04312695,0.01701523,1,150,Duke,3,87.33,West,4
mens,2016-03-16,1,1,0.01531972,0.00330268,0.00027874,3.483E-05,4.07E-06,5.3E-07,1,526,Florida Gulf Coast,1,72.94,East,16a
mens,2016-03-16,0,1,0.12990083,0.027687,0.00311017,0.00039728,6.528E-05,1.229E-05,1,278,Fresno St.,1,76.61,Midwest,14
mens,2016-03-16,0,1,0.60181899,0.30534,0.09376385,0.03161595,0.01167834,0.00453969,1,2250,Gonzaga,3,85.96,Midwest,11
