gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,finish,team_rating,team_region,team_seed
mens,2017-03-15,0,1,0.047498365035,0.004918122371,0.000812417756,5.8861889E-05,5.102393E-06,6.20539E-07,1,155,North Dakota,1,72.33,West,15
mens,2017-03-15,0,1,0.033193621198,0.003763286015,0.000472824072,6.1583549E-05,6.855984E-06,7.00774E-07,1,94,Northern Kentucky,1,72.83,South,15
mens,2017-03-15,0,1,0.454292815931,0.066373981917,0.022163655145,0.007824092234,0.002137141803,0.000723573348,1,77,Northwestern,2,82.6,West,8
mens,2017-03-15,0,1,0.754708167214,0.276810125446,0.082734021215,0.038876176976,0.014364473284,0.006252627293,1,87,Notre Dame,2,86.68,West,5
mens,2017-03-15,0,1,0.366564610258,0.09996370017,0.057101230454,0.02001535807,0.008207000889,0.002946089727,1,197,Oklahoma St.,1,84.71,Midwest,10
mens,2017-03-15,0,1,0.922453144793,0.612530910515,0.210819509714,0.065920365865,0.029473084572,0.011525856196,1,2483,Oregon,5,87.3,Midwest,3
mens,2017-03-15,0,1,0.245291832786,0.049146791543,0.007350411388,0.001982721266,0.000408559853,0.00010865245,1,163,Princeton,1,80,West,12
mens,2017-03-15,0,1,0.859696311013,0.506128913056,0.196155972645,0.106024814233,0.049306081888,0.020053741732,1,2509,Purdue,3,88.61,Midwest,4
mens,2017-03-15,0,1,0.439140841335,0.153258665386,0.046331760938,0.012850197576,0.0044665951,0.001364238382,1,227,Rhode Island,2,84.02,Midwest,11
mens,2017-03-15,0,1,0.737770787658,0.350551671732,0.257520481904,0.117770504604,0.046133019408,0.021064009798,1,2608,Saint Mary's,2,87.39,West,7
mens,2017-03-15,0,1,0.494261760994,0.097550713421,0.045016707606,0.012439960299,0.003803446383,0.001024853168,1,2550,Seton Hall,1,82.95,South,9
mens,2017-03-15,0,1,0.567264572844,0.12788435314,0.046592806588,0.010860383237,0.003187081737,0.001066904891,1,2579,South Carolina,5,83.08,East,7
mens,2017-03-15,0,1,0.023204369319,0.00414701157,0.000447293487,5.5355855E-05,5.216397E-06,6.85689E-07,1,2571,South Dakota St.,1,72.79,West,16
mens,2017-03-15,1,1,0.196054716757,0.061738356887,0.016975356853,0.003869723724,0.001385915454,0.000552049581,1,30,USC,2,82.1,East,11b
mens,2017-03-15,0,1,0.803945283243,0.463454539203,0.200434703508,0.072417520213,0.033883560556,0.01699676869,1,2567,SMU,1,88.43,East,6
mens,2017-03-15,0,1,0.020724660504,0.002532643833,0.000345020296,2.5125884E-05,2.344636E-06,2.01951E-07,1,2640,Texas Southern,1,70.99,South,16
mens,2017-03-15,0,1,0.033096505656,0.005765631309,0.000674379805,4.9353114E-05,5.299454E-06,7.09736E-07,1,2653,Troy,1,73.28,East,15
mens,2017-03-15,1,1,0.016809355461,0.001779988391,0.00011752404,9.326909E-06,9.75997E-07,9.324E-08,1,302,UC Davis,1,70.96,Midwest,16b
mens,2017-03-15,0,1,0.941723642576,0.611215043428,0.207386884588,0.09717773391,0.052536198326,0.024788166412,1,26,UCLA,3,88.02,South,3
mens,2017-03-15,0,1,0.545707184069,0.089275728202,0.032689651797,0.012532032674,0.003770143165,0.00138432177,1,238,Vanderbilt,1,83.79,West,9
mens,2017-03-15,0,1,0.140303688987,0.03580835808,0.005473229756,0.001397500684,0.000330757441,6.9681553E-05,1,261,Vermont,1,79.49,Midwest,13
mens,2017-03-15,0,1,0.987426987702,0.803067057288,0.589105143363,0.401744271267,0.241131390747,0.149947261243,1,222,Villanova,2,95.18,East,1
mens,2017-03-15,0,1,0.844766911501,0.49157769056,0.178738895621,0.09599603759,0.047330422693,0.024835394874,1,258,Virginia,2,90.02,East,5
mens,2017-03-15,0,1,0.262229212342,0.076255128254,0.036011588151,0.0085286792,0.002314911052,0.000779585537,1,2670,VCU,1,82.93,West,10
mens,2017-03-15,0,1,0.210201959061,0.019503795572,0.005284426421,0.001369965359,0.000322104021,8.8603049E-05,1,259,Virginia Tech,1,80.02,East,9
mens,2017-03-15,0,1,0.901829515036,0.645600990468,0.25600598144,0.146890204241,0.067740850338,0.03531348276,1,277,West Virginia,3,90.8,West,4
mens,2017-03-15,0,1,0.692358309471,0.244216762846,0.149951368802,0.083874522447,0.0437567647,0.019905400983,1,2724,Wichita St.,2,88.86,South,10
mens,2017-03-15,0,1,0.109794093934,0.03087977255,0.003895310877,0.000522322059,7.8053454E-05,1.0598294E-05,1,2737,Winthrop,1,75.53,South,13
mens,2017-03-15,0,1,0.789798040939,0.176322546791,0.091809638196,0.044143451877,0.019330937259,0.00916004384,1,275,Wisconsin,3,87.84,East,8
mens,2017-03-15,0,1,0.494281725361,0.167199602047,0.0423734949,0.009472802949,0.002449301625,0.000791609784,1,2752,Xavier,4,82.34,West,11
